File,ID,Decoded_English,Chinese_Translation,Original_Array
017B.es,1,THIS IS NOT A VALID SIGN,,"""THIS IS"", ""NOT A"", ""VALID"", ""SIGN"""
017B.es,2,drink at / the gilded lizard,,"""drink"", ""at|(e"", ""gilded"", ""lizard"""
017B.es,3,skara brae~ ~population 47,,"""skara"", ""brae~"", ""~population"", ""47"""
017B.es,4,trinsic,,"""trinsic"""
017B.es,5,the honorable hound,,"""(e"", ""honorable"", ""hound"""
017B.es,6,FELLOWSHIP HALL,,"""FELLOWSHIP"", ""HALL"""
017B.es,7,britain,,"""britain"""
017B.es,8,COMING: RAYMUNDO'S @TRIALS OF THE AVATAR@,,"""COMING:"", ""RAYMUNDO'S"", ""@TRIALS OF"", ""THE AVATAR@"""
017B.es,9,RESERVE THY SEATS NOW,,"""RESERVE"", ""THY"", ""SEATS"", ""NOW"""
017B.es,10,royal museum,,"""royal"", ""museum"""
017B.es,11,the music hall,,"""(e"", ""music"", ""hall"""
017B.es,12,the wayfarer's inn,,"""(e"", ""wayfarer's"", ""inn"""
017B.es,13,iolos bows,,"""iolos"", ""bows"""
017B.es,14,the blue boar,,"""(e"", ""blue"", ""boar"""
017B.es,15,gayes clothiers,,"""gayes"", ""clo(iers"""
017B.es,16,north ngar armoury,,"""nor("", "",ar"", ""armoury"""
017B.es,17,the oaken oar,,"""(e"", ""oaken"", ""oar"""
017B.es,18,bakery,,"""bakery"""
017B.es,19,jeweler,,"""jeweler"""
017B.es,20,farmers market,,"""farmers"", ""market"""
017B.es,21,apothecary,,"""apo(ecary"""
017B.es,22,royal mint,,"""royal"", ""mint"""
017B.es,23,csil the h+ler,,"""csil"", ""(e"", ""h+ler"""
017B.es,24,provisions,,"""provisions"""
017B.es,25,royal orchards,,"""royal"", ""orchards"""
017B.es,26,TEST OF STRENGTH  --  ART THOU AN AVATAR?,,"""TEST OF STRENGTH"", "" -- "", ""ART THOU AN AVATAR?"""
017B.es,27,punch and judy show,,"""punch and"", ""judy"", ""show"""
017B.es,28,fish / n / chips,,"""fish|n|chips"""
017B.es,29,cove,,"""cove"""
017B.es,30,the emerald,,"""(e"", ""emerald"""
017B.es,31,out / n / inn,,"""out|n|inn"""
017B.es,32,lovers walk,,"""lovers"", ""walk"""
017B.es,33,buccaneers den,,"""buccaneers"", ""den"""
017B.es,34,house of games,,"""house"", ""of"", ""games"""
017B.es,35,the fallen virgin,,"""(e"", ""fallen"", ""virgin"""
017B.es,36,MEDITATION RETREAT,,"""MEDITATION"", ""RETREAT"""
017B.es,37,GO THIS WAY,,"""GO THIS WAY"""
017B.es,38,lycaeum,,"""lycaeum"""
017B.es,39,the hallowed dock,,"""(e"", ""hallowed"", ""dock"""
017B.es,40,the friendly knave,,"""(e"", ""friendly"", ""knave"""
017B.es,41,the gilded lizard,,"""(e"", ""gilded"", ""lizard"""
017B.es,42,h+ler,,"""h+ler"""
017B.es,43,eldroths provisions,,"""eldro(s"", ""provisions"""
017B.es,44,house of items,,"""house"", ""of"", ""items"""
017B.es,45,britannian miniea company,,"""britannian"", ""mini*"", ""company"""
017B.es,46,minoc branch,,"""minoc"", ""branch"""
017B.es,47,trainer,,"""trainer"""
017B.es,48,scholar,,"""scholar"""
017B.es,49,town / hall,,"""town|hall"""
017B.es,50,wis-surs magics,,"""wis-surs"", ""magics"""
017B.es,51,observatory,,"""observatory"""
017B.es,52,vesper,,"""vesper"""
017B.es,53,mooealow,,"""moo*low"""
017B.es,54,terfin,,"""terfin"""
017B.es,55,serpents hold,,"""serpents"", ""hold"""
017B.es,56,empath abbey,,"""empa("", ""abbey"""
017B.es,57,jhelom,,"""jhelom"""
017B.es,58,minoc,,"""minoc"""
017B.es,59,undertaker,,"""undertaker"""
017B.es,60,high court of britannia,,"""high"", ""court"", ""of"", ""britannia"""
017B.es,61,prison,,"""prison"""
017B.es,62,the modeng damsel,,"""(e"", ""mode,"", ""damsel"""
017B.es,63,armoury,,"""armoury"""
017B.es,64,blacksmith,,"""blacksmi("""
017B.es,65,recr+tion center,,"""recr+tion"", ""center"""
017B.es,66,hall of knowledge,,"""hall"", ""of"", ""knowledge"""
017B.es,67,hello there avatar,,"""hello"", ""(ere"", ""avatar"""
017B.es,68,tonight / 9-12 in / person the / avatars,,"""tonight|9-12"", ""in|person"", ""the|avatars"""
017B.es,69,why ask why?,,"""why"", ""ask"", ""why?"""
017B.es,70,ngr)t of honor,,""",r)t"", ""of"", ""honor"""
017B.es,71,paladins path,,"""paladins"", ""pa("""
017B.es,72,AVENUE OF THE FELLOWSHIP,,"""AVENUE"", ""OF"", ""THE"", ""FELLOWSHIP"""
017B.es,73,widows walk,,"""widows"", ""walk"""
017B.es,74,harolds hallway,,"""harolds"", ""hallway"""
017B.es,75,fools / way,,"""fools|way"""
017B.es,76,whitsaber road,,"""whitsaber"", ""road"""
017B.es,77,ngrand,,""",rand"""
017B.es,78,chalice avenue,,"""chalice"", ""avenue"""
017B.es,79,two coves,,"""two"", ""coves"""
017B.es,80,weng wall road,,"""we,"", ""wall"", ""road"""
017B.es,81,+ng wall road,,"""+,"", ""wall"", ""road"""
017B.es,82,north wall road,,"""nor("", ""wall"", ""road"""
017B.es,83,south wall road,,"""sou("", ""wall"", ""road"""
017B.es,84,heroes way,,"""heroes"", ""way"""
017B.es,85,iolos south,,"""iolos"", ""sou("""
017B.es,86,paws,,"""paws"""
017B.es,87,the salty / dog,,"""(e"", ""salty|dog"""
017B.es,88,FELLOWSHIP SHELTER,,"""FELLOWSHIP"", ""SHELTER"""
017B.es,89,vesper branch,,"""vesper"", ""branch"""
017B.es,90,the checquered cork,,"""(e"", ""checquered"", ""cork"""
017B.es,91,artists guild,,"""artists"", ""guild"""
017B.es,92,the bunk and ngool,,"""(e bunk"", ""and"", "",ool"""
017B.es,93,the library of scars,,"""(e"", ""library"", ""of"", ""scars"""
017B.es,94,carlyns clothes,,"""carlyns"", ""clo(es"""
017B.es,95,within / these walls lies / manger richard,,"""wi(in|(ese"", ""walls"", ""lies|ma,er"", ""richard"""
017B.es,96,cangle / way,,"""ca,le|way"""
017B.es,97,lord british lane,,"""lord"", ""british"", ""lane"""
017B.es,98,noble / road,,"""noble|road"""
017B.es,99,weng / end avenue,,"""we,|end"", ""avenue"""
017B.es,100,hazle / lane,,"""hazle|lane"""
017B.es,101,park square north,,"""park"", ""square"", ""nor("""
017B.es,102,park square south,,"""park"", ""square"", ""sou("""
017B.es,103,market ngr)t,,"""market"", "",r)t"""
017B.es,104,golden way,,"""golden"", ""way"""
017B.es,105,center avenue,,"""center"", ""avenue"""
017B.es,106,spike lane,,"""spike"", ""lane"""
017B.es,107,avatar avenue,,"""avatar"", ""avenue"""
017B.es,108,ngable lane,,""",able"", ""lane"""
017B.es,109,+ng end avenue,,"""+,"", ""end"", ""avenue"""
017B.es,110,farm road,,"""farm"", ""road"""
017B.es,111,nugget ngr)t,,"""nugget"", "",r)t"""
017B.es,112,cool cove,,"""cool"", ""cove"""
017B.es,113,north end avenue,,"""nor("", ""end"", ""avenue"""
017B.es,114,golden eye way,,"""golden"", ""eye"", ""way"""
017B.es,115,to the dark tower,,"""to"", ""(e"", ""dark"", ""tower"""
017B.es,116,BEWARE OF LANDSLIDES,,"""BEWARE"", ""OF"", ""LANDSLIDES"""
017B.es,117,DANGER: DO NOT ENTER,,"""DANGER:"", ""DO"", ""NOT"", ""ENTER"""
017B.es,118,old number one,,"""old"", ""number"", ""one"""
017B.es,119,do / not free the liche,,"""do|not"", ""free"", ""(e"", ""liche"""
017B.es,120,beware monngers within,,"""beware"", ""mon,ers"", ""wi(in"""
017B.es,121,paupers graves,,"""paupers"", ""graves"""
017B.es,122, / manrik /  a / soul of / a soul,,"""|manrik|"", ""a|soul"", ""of|a"", ""soul"""
017B.es,123,here / lies jules / no words / for the / loss,,"""here|lies"", ""jules|no"", ""words|for"", ""(e|loss"""
017B.es,124, / morgan /  her death / a tragedy,,"""|morgan|"", ""her"", ""dea(|a"", ""tragedy"""
017B.es,125,here / lies kethian friend / to many,,"""here|lies"", ""ke(ian"", ""friend|to"", ""many"""
017B.es,126, / wadley /  his / soul deeper / than his / body,,"""|wadley|"", ""his|soul"", ""deeper|(an"", ""his|body"""
017B.es,127,here / lies jenna kindred spirit,,"""here|lies"", ""jenna"", ""kindred"", ""spirit"""
017B.es,128,d+d end,,"""d+d"", ""end"""
017B.es,129,to skara brae,,"""to"", ""skara"", ""brae"""
017B.es,130,THE THRONE OF / THE GUARDIAN,,"""THE"", ""THRONE"", ""OF|THE"", ""GUARDIAN"""
017B.es,131,north to britain,,"""nor("", ""to"", ""britain"""
017B.es,132,pull lever,,"""pull"", ""lever"""
017B.es,133,round and round,,"""round"", ""and"", ""round"""
017B.es,134,way out,,"""way"", ""out"""
017B.es,135,keep doors open,,"""keep"", ""doors"", ""open"""
017B.es,136,selwyns tower,,"""selwyns"", ""tower"""
017B.es,137,follow the fire,,"""follow"", ""(e"", ""fire"""
02CB.es,1,IS SIGN ZERO,,"""IS"", ""SIGN ZERO"""
02CB.es,2,here / lies john / doe buried where he / died,,"""here|lies"", ""john|doe"", ""buried"", ""where"", ""he|died"""
02CB.es,3, / garth /  sorry about thy / thumb,,"""|garth|"", ""sorry"", ""about"", ""thy|(umb"""
02CB.es,4,LADY M: YOUTH IS HERS FOREVER,,"""LADY M:"", ""YOUTH IS"", ""HERS"", ""FOREVER"""
02CB.es,5, / julius /  may / his spirit reng forever,,"""|julius|"", ""may|his"", ""spirit"", ""re,"", ""forever"""
02CB.es,6,here lies argent died / a sargeant,,"""here"", ""lies"", ""argent"", ""died|a"", ""sargeant"""
02CB.es,7, / darek /  his days were numbered,,"""|darek|"", ""his"", ""days"", ""were"", ""numbered"""
02CB.es,8, / malc /  his words remain with / us,,"""|malc|"", ""his"", ""words"", ""remain"", ""wi(|us"""
02CB.es,9, / nina /  may her spirit soar,,"""|nina|"", ""may"", ""her"", ""spirit"", ""soar"""
02CB.es,10, / bart /  he / never finished the / joke,,"""|bart|"", ""he|never"", ""finished"", ""(e|joke"""
02CB.es,11, / ann /  a delicate flower,,"""|ann|"", ""a"", ""delicate"", ""flower"""
02CB.es,12, / dallas /  went down with / the ship,,"""|dallas|"", ""went"", ""down"", ""wi(|(e"", ""ship"""
02CB.es,13, / alan /  looked great / in pink,,"""|alan|"", ""looked"", ""great|in"", ""pink"""
02CB.es,14,here lies ken killed / by a pen,,"""here"", ""lies"", ""ken"", ""killed|by"", ""a pen"""
02CB.es,15, / jeff / d /  died / with a / pencil in / hand,,"""|jeff|d|"", ""died|wi("", ""a|pencil"", ""in|hand"""
02CB.es,16, / martin /  the / notes were / too sharp,,"""|martin|"", ""(e|notes"", ""were|too"", ""sharp"""
02CB.es,17, / tony / b /  a / credit to / his name,,"""|tony|b|"", ""a|credit"", ""to|his"", ""name"""
02CB.es,18, / philip /  spells mangered him,,"""|philip|"", ""spells"", ""ma,ered"", ""him"""
02CB.es,19, / chuckles /  laughed till / the end,,"""|chuckles|"", ""laughed"", ""till|(e"", ""end"""
02CB.es,20, / art / d /  bit / the / rump of / a / big /  bad / gump,,"""|art|d|"", ""bit|(e|rump"", ""of|a|big|"", ""bad|gump"""
02CB.es,21, / jim / g /  he / was a / wonder to / us / all,,"""|jim|g|"", ""he|was"", ""a|wonder"", ""to|us|all"""
02CB.es,22, / will /  he / was / a rebel / and a / runner,,"""|will|"", ""he|was|a"", ""rebel|and"", ""a|runner"""
02CB.es,23, / mr / mike /  lost / early from / a / bout with / gumps,,"""|mr|mike|"", ""lost|early"", ""from|a|bout"", ""with|gumps"""
02CB.es,24, / paul /  odd / how awake sleep made / him,,"""|paul|"", ""odd|how"", ""awake"", ""sleep"", ""made|him"""
02CB.es,25, / zack /  he demanded atomic d+th,,"""|zack|"", ""he"", ""demanded"", ""atomic"", ""d+("""
02CB.es,26, / phil / s /  a / victim of venomous fate,,"""|phil|s|"", ""a|victim"", ""of"", ""venomous"", ""fate"""
02CB.es,27, / jeff / w /  danger radiation,,"""|jeff|w|"", ""danger"", ""radiation"""
02CB.es,28, / tony / z /  a / good source for / gumps,,"""|tony|z|"", ""a|good"", ""source"", ""for|gumps"""
02CB.es,29, / bill / b /  we / thought he / was / only winged,,"""|bill|b|"", ""we|(ought"", ""he|was|only"", ""winged"""
02CB.es,30, / charles / c /  guest victim,,"""|charles|c|"", ""guest"", ""victim"""
02CB.es,31, / danny /  dearly depainted,,"""|danny|"", ""dearly"", ""depainted"""
02CB.es,32, / bob /  he / makes the / grass greener,,"""|bob|"", ""he|makes"", ""(e|grass"", ""greener"""
02CB.es,33,here / lies donna she / is / a gonna,,"""here|lies"", ""donna"", ""she|is|a"", ""gonna"""
02CB.es,34, / karl /  a / portrait of talent,,"""|karl|"", ""a|portrait"", ""of"", ""talent"""
02CB.es,35, / chris / d /  an explosive character,,"""|chris|d|"", ""an"", ""explosive"", ""character"""
02CB.es,36, / glen /  went with / a smile,,"""|glen|"", ""went"", ""with|a"", ""smile"""
02CB.es,37, / bruce / l /  had / a fantastic ending,,"""|bruce|l|"", ""had|a"", ""fantastic"", ""ending"""
02CB.es,38, / loubet /  his last br+th,,"""|loubet|"", ""his"", ""last"", ""br+("""
02CB.es,39, / micael / p /  loea / time comiea / gone for / good,,"""|micael|p|"", ""lo*|time"", ""comi*|gone"", ""for|good"""
02CB.es,40, / jake /  the / party is over,,"""|jake|"", ""(e|party"", ""is"", ""over"""
02CB.es,41, / gary / w /  man / of / a thousand faces,,"""|gary|w|"", ""man|of|a"", ""(ousand"", ""faces"""
02CB.es,42, / the / b+ng /  it / was / a full life,,"""|(e|b+,|"", ""it|was|a"", ""full"", ""life"""
02CB.es,43,here / lies kirk / died from / too much / work,,"""here|lies"", ""kirk|died"", ""from|too"", ""much|work"""
02CB.es,44, / targ /  a worthy opponent,,"""|targ|"", ""a"", ""wor(y"", ""opponent"""
02CB.es,45,here / lies myngral shined like / a crystal,,"""here|lies"", ""my,ral"", ""shined"", ""like|a"", ""crystal"""
02CB.es,46,here / lies marc and / why not,,"""here|lies"", ""marc"", ""and|why"", ""not"""
02CB.es,47, / nenad /  the music maker,,"""|nenad|"", ""(e"", ""music"", ""maker"""
02CB.es,48,here / lies john his work / was never / done,,"""here|lies"", ""john"", ""his"", ""work|was"", ""never|done"""
02CB.es,49, / bruce / a /  we killed him,,"""|bruce|a|"", ""we"", ""killed"", ""him"""
02CB.es,50, / eric /  unaware the / game was loaded,,"""|eric|"", ""unaware"", ""(e|game"", ""was"", ""loaded"""
02CB.es,51, / raymond /  the / world is / not enough,,"""|raymond|"", ""(e|world"", ""is|not"", ""enough"""
02CB.es,52, / Beth /  died by garriot,,"""|Beth|"", ""died"", ""by"", ""garriot"""
02CB.es,53, / jack /  +ten by dieaos,,"""|jack|"", ""+ten"", ""by"", ""di*os"""
02CB.es,54, / michelle /  huea / for poisoniea lover,,"""|michelle|"", ""hu*|for"", ""poisoni*"", ""lover"""
02CB.es,55, / scott / h /  gone today gone tomorrow,,"""|scott|h|"", ""gone"", ""today"", ""gone"", ""tomorrow"""
02CB.es,56, / brian /  swallowed by the monnger,,"""|brian|"", ""swallowed"", ""by"", ""(e"", ""mon,er"""
02CB.es,57, / sherry / c /  managed until the / end,,"""|sherry|c|"", ""managed"", ""until"", ""(e|end"""
02CB.es,58, / karen /  quality was / job one,,"""|karen|"", ""quality"", ""was|job"", ""one"""
02CB.es,59, / j / shelton here / i / lie but / ngill i / roam,,"""|j|shelton"", ""here|i|lie"", ""but|,ill"", ""i|roam"""
02CB.es,60, / marco /  underfed under / gun undergrnd,,"""|marco|"", ""underfed"", ""under|gun"", ""undergrnd"""
02CB.es,61, / lynn /  she / had the / grace of / a / swan,,"""|lynn|"", ""she|had"", ""(e|grace"", ""of|a|swan"""
02CB.es,62, / chenault /  me / puergo canus / meus urit,,"""|chenault|"", ""me|puergo"", ""canus|meus"", ""urit"""
02CB.es,63, / j / crippen /  to / dizzy and / tc cocopuff,,"""|j|crippen|"", ""to|dizzy"", ""and|tc"", ""cocopuff"""
02CB.es,64, / tim /  the / unknown tombngone,,"""|tim|"", ""(e|unknown"", ""tomb,one"""
02CB.es,65, / nathan /  blown / away by / grogs fireball,,"""|na(an|"", ""blown|away"", ""by|grogs"", ""fireball"""
02CB.es,66, / james / n /  last / words i / drank what,,"""|james|n|"", ""last|words"", ""i|drank"", ""what"""
02CB.es,67,here / lies Ben all / tenged out,,"""here|lies"", ""Ben"", ""all|te,ed"", ""out"""
02CB.es,68, / scott /  buried / an axe / in his / h+d,,"""|scott|"", ""buried|an"", ""axe|in"", ""his|h+d"""
02CB.es,69, / duke /  veni vidi exii,,"""|duke|"", ""veni"", ""vidi"", ""exii"""
02CB.es,70, / mike / h /  everythiea fit / to print,,"""|mike|h|"", ""every(i*"", ""fit|to"", ""print"""
02CB.es,71, / robin /  she / gave sunshine to / us / all,,"""|robin|"", ""she|gave"", ""sunshine"", ""to|us|all"""
02CB.es,72, / andrew /   / m /  never got clued / in,,"""|andrew|"", ""|m|"", ""never"", ""got"", ""clued|in"""
02CB.es,73, / wayne / s /  the / food was gr+t,,"""|wayne|s|"", ""(e|food"", ""was"", ""gr+t"""
02CB.es,74, / craig / c /  was delivered,,"""|craig|c|"", ""was"", ""delivered"""
02CB.es,75, / jeff / f /  fed / but never ate,,"""|jeff|f|"", ""fed|but"", ""never"", ""ate"""
02CB.es,76, / w / hagy food for thought,,"""|w|hagy"", ""food"", ""for"", ""(ought"""
02CB.es,77, / m /   / stevens /  arrived with / gifts,,"""|m|"", ""|stevens|"", ""arrived"", ""wi(|gifts"""
02CB.es,78, / michelle /   / g /  bringer of dinner,,"""|michelle|"", ""|g|"", ""bringer"", ""of"", ""dinner"""
02CB.es,79, / brian / s /  food was him,,"""|brian|s|"", ""food"", ""was"", ""him"""
02CB.es,80, / jackie /  d /  as / in / d /  for dinner,,"""|jackie|"", ""d|"", ""as|in|d|"", ""for"", ""dinner"""
02CB.es,81, / b / adams /  spained a perfect record,,"""|b|adams|"", ""spained"", ""a"", ""perfect"", ""record"""
02CB.es,82, / hal /  a / nice fellow who / is now / below,,"""|hal|"", ""a|nice"", ""fellow"", ""who|is"", ""now|below"""
02CB.es,83, / rover /  mans / best friend over / and over,,"""|rover|"", ""mans|best"", ""friend"", ""over|and"", ""over"""
02CB.es,84, / felcore /  age / old love never dies,,"""|felcore|"", ""age|old"", ""love"", ""never"", ""dies"""
02CB.es,85,heres tony morse hes / d+d of / course,,"""heres"", ""tony"", ""morse"", ""hes|d+d"", ""of|course"""
02CB.es,86,heres larry salamon  /  gross,,"""heres"", ""larry"", ""salamon"", ""|"", ""gross"""
02CB.es,87,darren mcdonald who / is faltran,,"""darren"", ""mcdonald"", ""who|is"", ""faltran"""
02CB.es,88, / kevin / b /  died away from / the chiltons,,"""|kevin|b|"", ""died"", ""away"", ""from|(e"", ""chiltons"""
02CB.es,89, / beth and michael /  worm food,,"""|beth"", ""and"", ""michael|"", ""worm"", ""food"""
02CB.es,90, / a / h /  died honorably,,"""|a|h|"", ""died"", ""honorably"""
02CB.es,91, / john / t /  gone and went,,"""|john|t|"", ""gone"", ""and"", ""went"""
02CB.es,92, / rey /   installed here,,"""|rey|"", """", ""installed"", ""here"""
02CB.es,93, / rhoode /  a / more deserviea man / never died,,"""|rhoode|"", ""a|more"", ""deservi*"", ""man|never"", ""died"""
02CB.es,94, / jasner /  every moment she / is missed,,"""|jasner|"", ""every"", ""moment"", ""she|is"", ""missed"""
02CB.es,95, / wampol /  here / he lied now / here he / lays,,"""|wampol|"", ""here|he"", ""lied"", ""now|here"", ""he|lays"""
02CB.es,96, / destra /  wounded by / a lovers spurniea,,"""|destra|"", ""wounded"", ""by|a"", ""lovers"", ""spurni*"""
02CB.es,97, / mendar /  buried with / his boots / on,,"""|mendar|"", ""buried"", ""wi(|his"", ""boots|on"""
02CB.es,98, / greghim /  old / age never looked / so good,,"""|greghim|"", ""old|age"", ""never"", ""looked|so"", ""good"""
02CB.es,99, / sarnan /  was / not missed but / is now,,"""|sarnan|"", ""was|not"", ""missed"", ""but|is"", ""now"""
02CB.es,100, / erlemar /  gr+teng enchanter of / his day,,"""|erlemar|"", ""gr+te,"", ""enchanter"", ""of|his"", ""day"""
02CB.es,101, / galler /  came /  saw /  was conquered,,"""|galler|"", ""came|"", ""saw|"", ""was"", ""conquered"""
02CB.es,102, / elgeleth /  queen for / a / day worm / food forever,,"""|elgele(|"", ""queen"", ""for|a|day"", ""worm|food"", ""forever"""
02CB.es,103, / pantor /  the / sieaiea never stops,,"""|pantor|"", ""(e|si*i*"", ""never"", ""stops"""
02CB.es,104,here / lies beloved father and manger,,"""here|lies"", ""beloved"", ""fa(er"", ""and"", ""ma,er"""
